
!EXCLAMATION-POINT  EH K - S K L AH - M EY - SH AH N - P OY N T
ALLEGED  AH - L EH JH D
ALLEGEDLY  AH - L EH - JH AH D - L IY
ALLEGES  AH - L EH - JH AH Z
ALLEGES()  AH - L EH - JH IH Z
ALLEGHANY  AE - L AH - G EY - N IY
ALLEGHENY  AE - L AH - G EY - N IY
ALLEGIANCE  AH - L IY - JH AH N S
ALLEGIANCES()  AH - L IY - JH AH N - S IH Z
ALLEGIS  AE - L EY - JH IH S
ALLEGIS'  AE - L EY - JH IH S
ALLEGIS'S  AE - L EY - JH IH - S IH Z
ALLEGORICAL  AE - L AH - G AO - R AH - K AH L
ALLEGORIES  AE - L AH - G AO - R IY Z
ALLEGORY  AE - L AH - G AO - R IY
ALLEGRETTI  AA - L EH - G R EH - T IY
ALLEGRO  AH - L EH - G R OW
ALLELE  AH - L EH - L IY
ALLELES  AH - L EH - L IY Z
ALLELIC  AH - L EH - L IH K
ALLEMAND  AE - L IH - M AH N D
ALLEN'S  AE - L AH N Z
ALLENBAUGH  AH - L EH N - B AO
ALLENDALE  AE - L AH N - D EY L
ALLENDE  AA - Y EH N - D EY
ALLENDER  AA - L Y EH N - D EY - ER
ALLENDER()  AA - L EH N - D ER
ALLENDORF  AE - L IH N - D AO R F
ALLENE  AE - L IY N
ALLENSBACH  AE - L AH N Z - B AA K
ALLENWOOD  AE - L AH N - W UH D
ALLER  AO - L ER
ALLERGAN  AE - L ER - JH AH N
ALLERGEN  AE - L ER - JH AH N
ALLERGENS  AE - L ER - JH AH N Z
ALLERGIC  AH - L ER - JH IH K
ALLERGIST  AE - L ER - JH AH S T
ALLERGY  AE - L ER - JH IY
ALLERS  AO - L ER Z
ALLERT  AE - L ER T
ALLERTON  AE - L ER - T AH N
ALLES  EY L Z
ALLEVA  AA - L EY - V AH
ALLEVIATED  AH - L IY - V IY - EY - T AH D
ALLEVIATES  AH - L IY - V IY - EY T S
ALLEY  AE - L IY
ALLEY'S  AE - L IY Z
ALLEYNE  AE - L EY N
ALLEYWAYS  AE - L IY - W EY Z
ALLGEMEINE  AO L - G AH - M AY N
ALLGEYER  AE L - G IY - ER
ALLIANCE  AH - L AY - AH N S
ALLIANCES  AH - L AY - AH N - S AH Z
ALLIANCES()  AH - L AY - AH N - S IH Z
ALLIANT  AH - L AY - AH N T
ALLIANZ  AE - L IY - AH N Z
ALLICK  AE - L IH K
ALLIE  AE - L IY
ALLIED  AH - L AY D
ALLIEDSIGNAL  AE - L AY D - S IH G - N AH L
ALLIES()  AH - L AY Z
ALLIGOOD  AE - L IH - G UH D
ALLIN  AH - L IH N
ALLINDER  AE - L IH N - D ER
ALLING  AO - L IH NG
ALLINGER  AO - L IH - NG ER
ALLINGHAM  AO - L IH NG - HH AE M
ALLINSON  AE - L IH N - S AH N
ALLIS  AE - L IH S
ALLISON  AE - L AH - S AH N
ALLISON'S  AE - L IH - S AH N Z
ALLISTER  AO - L IH - S T ER
ALLISTER()  AE - L IH - S T ER
ALLITERATION  AH - L IH - T ER - EY - SH AH N
ALLITERATIVE  AH - L IH - T ER - AH - T IH V
ALLITERATIVE()  AH - L IH - T ER - EY - T IH V
ALLMAN  AO L - M AH N
ALLMENDINGER  AE L - M EH N - D IH - NG ER
ALLMON  AO L - M AH N
ALLMOND  AH L - M AA N D
ALLNET  AO L - N EH T
ALLNUTT  AH L - N AH T
ALLOCATE  AE - L AH - K EY T
ALLOCATED  AE - L AH - K EY - T IH D
ALLOCATES  AE - L AH - K EY T S
ALLOCATING  AE - L AH - K EY - T IH NG
ALLOCATION  AE - L AH - K EY - SH AH N
ALLOCATIONS  AE - L AH - K EY - SH AH N Z
ALLOCATOR  AE - L AH - K EY - T ER
ALLOCATORS  AE - L AH - K EY - T ER Z
ALLOCCA  AE - L AA - K AH
ALLOCCO  AE - L AA - K OW
ALLOMORPH  AE - L AH - M AO R F
ALLOMORPHS  AE - L AH - M AO R F S
ALLOPHONIC  AE - L AH - F AA - N IH K
ALLOR  AO - L ER
ALLOT  AH - L AA T
ALLOTMENTS  AH - L AA T - M AH N T S
ALLOTROPE  AE - L AH - T R OW P
ALLOTROPES  AE - L AH - T R OW P S
ALLOTS  AH - L AA T S
ALLOTTED  AH - L AA - T IH D
ALLOTTING  AH - L AA - T IH NG
ALLOW  AH - L AW
ALLOWANCE  AH - L AW - AH N S
ALLOWANCES  AH - L AW - AH N - S IH Z
ALLOWED  AH - L AW D
ALLOWS  AH - L AW Z
ALLOY  AE - L OY
ALLOYS  AE - L OY Z
ALLPHIN  AH L - F IH N
ALLRED  AE L - R IH D
ALLS  AO L Z
ALLSBROOK  AO L Z - B R UH K
ALLSHOUSE  AO L Z - HH AW S
ALLSHOUSE()  AO L T S - HH AW S
ALLSOP  AO L - S AA P
ALLSOPP  AO L - S AA P
ALLSPICE  AO L - S P AY S
ALLSTATE  AO L - S T EY T
ALLSTATE'S  AO L - S T EY T S
ALLSTON  AO L - S T AH N
ALLSUP  AE L - S AH P
ALLTEL  AO L - T EH L
ALLTIME  AO L - T AY M
ALLTON  AO L - T AH N
ALLTOP  AO L - T AA P
ALLUDE  AH - L UW D
ALLUDED  AH - L UW - D AH D
ALLUDES  AH - L UW D Z
ALLUM  AE - L AH M
ALLURE  AH - L UH R
ALLURING  AH - L UH - R IH NG
ALLUSION  AH - L UW - ZH AH N
ALLUSIONS  AH - L UW - ZH AH N Z
ALLUSIVE  AH - L UW - S IH V
ALLUVIAL  AE - L UW - V IY - AH L
ALLWEISS  AA L - W IY S
ALLY  AE - L AY
ALLY'S  AH - L AY Z
ALLY()  AH - L AY
ALLYING  AE - L AY - IH NG
ALLYING()  AH - L AY - IH NG
ALLYN  AE - L IH N
ALLYS  AE - L AY Z
ALLYSON  AE - L IH - S AH N
ALM  AA M
ALMA  AE L - M AH
ALMA()  AO L - M AH
ALMADA  AA L - M AA - D AH
ALMADANI  AO L - M AH - D AA - N IY
ALMADEN  AE L - M AH - D AH N
ALMADEN()  AA L - M AH - D EH N
ALMAN  AE L - M AH N
ALMAND  AE L - M AH N D
ALMANZA  AA L - M AA N - Z AH
ALMANZAR  AA L - M AA N - Z AA R
ALMARAZ  AA L - M AA - R AA Z
ALMAS  AE L - M AH Z
ALMASY  AE L - M AH - S IY
ALMAZAN  AA L - M AA - Z AA N
ALMEDA  AA L - M EY - D AH
ALMEIDA  AA L - M IY - D AH
ALMENDAREZ  AA L - M EY N - D AA - R EH Z
ALMER  AO L - M ER
ALMGREN  AE L M - G R EH N
ALMIGHTY  AO L - M AY - T IY
ALMIRA  AA L - M IH - R AH
ALMO  AA L - M OW
ALMON  AA L - M AH N
ALMOND  AA - M AH N D
ALMONDS  AA L - M AH N D Z
ALMOS  AA L - M OW S
ALMOST  AO L - M OW S T
ALMQUIST  AE L M - K W IH S T
ALMS  AA L M Z
ALMS()  AA M Z
ALMYS  AE L - M IY Z
ALODIE  AH - L AA - D IY
ALOE  AE - L OW
ALOHA  AH - L OW - HH AA
ALOI  AA - L OY
ALOIA  AA - L OW - Y AH
ALOIS  AA - L OY S
ALOISA  AA - L OY - S AH
ALOISI  AA - L OY - S IY
ALOISIA  AA - L OY - S IY - AH
ALOISIO  AA - L OY - S IY - OW
ALOKA  AH - L OW - K AH
ALON  AH - L AA N
ALONE  AH - L OW N
ALONG  AH - L AO NG
ALONGE  AE - L AH N JH
ALONGI  AA - L OW NG - G IY
ALONGS  AH - L AO NG Z
ALONGSIDE  AH - L AO NG - S AY D
ALONSO  AH - L AA N - S OW
ALOOF  AH - L UW F
ALOOFNESS  AH - L UW F - N AH S
ALOUD  AH - L AW D
ALOYS  AH - L OY Z
ALOYSE  AH - L OY S
ALOYSIA  AA - L OY - S IY - AH
ALOYSIUS  AE - L OW - IH - SH IH S
ALPA  AE L - P AH
ALPER  AE L - P ER
ALPERIN  AE L - P ER - IH N
ALPERN  AH L - P ER N
ALPERS  AE L - P ER Z
ALPERT  AE L - P ER T
ALPHA  AE L - F AH
ALPHA'S  AE L - F AH Z
ALPHABET  AE L - F AH - B EH T
ALPHABETIC  AE L - F AH - B EH - T IH K
ALPHABETICAL  AE L - F AH - B EH - T IH - K AH L
ALPHABETICALLY  AE L - F AH - B EH - T IH K - L IY
ALPHAMETRIC  AE L - F AH - M EH - T R IH K
ALPHAMETRICS  AE L - F AH - M EH - T R IH K S
ALPHANDERY  AE L - F AE - D ER - IY
ALPHANUMERIC  AE L - F AH - N UW - M EH - R IH K
ALPHAREL  AE L - F ER - EH L
ALPHARETTA  AE L - F ER - EH - T AH
ALPHIN  AE L - F IH N
ALPHONSE  AE L - F AA N Z
ALPHONSINE  AH L - F AA N - S IY N
ALPHONSO  AE L - F AA N - S OW
ALPIN  AH L - P IH N
ALPINE  AE L - P AY N
ALPO  AE L - P OW
ALPS  AE L P S
ALREADY  AO L - R EH - D IY
ALREADY()  AO - R EH - D IY
ALRIGHT  AO L - R AY T
ALROY  AH L - R OY
ALS  AE L Z
ALSACE()  AE L - S AE S
ALSATIAN  AE L - S EY - SH AH N
ALSBROOK  AE L Z - B R UH K
ALSBROOKS  AE L Z - B R UH K S
ALSBROOKS'  AE L Z - B R UH K S
ALSDORF  AO L Z - D AO R F
ALSDORF()  AE L Z - D AO R F
ALSIP  AE L - S IH P
ALSO  AO L - S OW
ALSOBROOK  AE L - S AH - B R UH K
ALSOBROOKS  AE L - S AH - B R UH K S
ALSOP  AE L - S AA P
ALSPAUGH  AH L - S P AO
ALSTHOM  AE L - S TH AH M
ALSTON  AO L - S T AH N
ALTA  AA L - T AH
ALTADENA  AA L - T AH - D IY - N AH
ALTAI  AE L - T AY
ALTAIC  AE L - T EY - IH K
ALTAMIRANO  AA L - T AA - M IH - R AA - N OW
ALTARPIECE  AO L - T ER - P IY S
ALTARS  AO L - T ER Z
ALTAVISTA  AO L - T AH - V IH - S T AH
ALTAY  AO L - T AY
ALTEMOSE  AE L - T IH - M OW S
ALTENBURG  AO L - T AH N - B ER G
ALTERA  AO L - T EH - R AH
ALTERATION  AO L - T ER - EY - SH AH N
ALTERATIONS  AO L - T ER - EY - SH AH N Z
ALTERCATION  AA L - T ER - K EY - SH AH N
ALTERCATIONS  AA L - T ER - K EY - SH AH N Z
ALTERED  AO L - T ER D
ALTERGOTT  AE L - T ER - G AH T
ALTERING  AO L - T ER - IH NG
ALTERMAN  AO L - T ER - M AH N
ALTERNACARE  AO L - T ER - N AH - K EH R
ALTERNATE  AO L - T ER - N AH T
ALTERNATE()  AO L - T ER - N EY T
ALTERNATED  AO L - T ER - N EY - T AH D
ALTERNATELY  AO L - T ER - N AH T - L IY
ALTERNATES  AO L - T ER - N EY T S
ALTERNATING  AO L - T ER - N EY - T IH NG
ALTERNATION  AO L - T ER - N EY - SH AH N
ALTERNATIVE  AO L - T ER - N AH - T IH V
ALTERNATIVES  AO L - T ER - N AH - T IH V Z
ALTERNATOR  AO L - T ER - N EY - T ER
ALTERS  AO L - T ER Z
ALTFEST  AA L T - F EH S T
ALTHAVER  AE L - TH EY - V ER
ALTHEA  AE L - TH IY - AH
ALTHOFF  AE L T - HH AO F
ALTHOUGH  AO L - DH OW
ALTHOUSE  AO L T - HH AW S
ALTICE  AA L - T IH S
ALTIER  AO L - T IY - ER
ALTIERI  AA L - T IH - R IY
ALTIMA  AA L - T IH - M AH
ALTIMA'S  AA L - T IH - M AH Z
ALTIMETER  AE L - T IH - M AH - T ER
ALTIMORANO  AA L - T IY - M AO - R AA - N OW
ALTIPLANO  AE L - T AH - P L AA - N OW
ALTITUDE  AE L - T AH - T UW D
ALTITUDES  AE L - T IH - T UW D Z
ALTIZER  AE L - T AY - Z ER
ALTLAND  AE L T - L AH N D
ALTMAN'S  AO L T - M AH N Z
ALTMANN  AO L T - M AH N
ALTMEYER()  AA L T - M AY - ER
ALTO  AE L - T OW
ALTOBELLI  AA L - T OW - B EH - L IY
ALTOGETHER  AO L - T AH - G EH - DH ER
ALTOS  AE L - T OW Z
ALTOS()  AO L - T OW S
ALTRA  AA L - T R AH
ALTRUISM  AE L - T R UW - IH - Z AH M
ALTSCHILLER  AO L - CH IH - L ER
ALTSCHULER  AE L - CH Y UW - L ER
ALTSHULER  AE L - CH Y UW - L ER
ALTSHULER()  AE L - CH UW - L ER
ALTUS  AE L - T AH S
ALTVATER  AE L T - V AH - T ER
ALTZHEIMER  AA L T S - HH AY - M ER
ALTZHEIMER'S  AA L T S - HH AY - M ER Z
ALU  AA - L UW
ALUM  AE - L AH M
ALUM()  AH - L AH M
ALUMAX  AE - L UW - M AE K S
ALUMBAUGH  AH - L AH M - B AO
ALUMINA  AH - L UW - M AH - N AH
ALUMINIO  AE - L UW - M IY - N IY - OW
ALUMINIZE  AH - L UW - M AH - N AY Z
ALUMINIZED  AH - L UW - M AH - N AY Z D
ALUMINOSILICATE  AH - L UW - M AH - N OW - S IH - L AH - K EY T
ALUMINUM'S  AH - L UW - M AH - N AH M Z
ALUMNI  AH - L AH M - N AY
ALUMNUS  AH - L AH M - N AH S
ALUMS  AE - L AH M Z
ALUN  EY - L AH N
ALURA  AA - L UH - R AH
ALUSUISSE  AE L - Y UW S - W IH S
ALVAN  AE L - V AH N
ALVARADO  AE L - V ER - AA - D OW
ALVARDO  AA L - V AA R - D OW
ALVARE  AE L - V EY R
ALVARE()  AE L - V AA R
ALVARENGA  AA L - V AA - R EH NG - G AH
ALVARES  AA L - V AA - R EH S
ALVARO  AH L - V AA - R OW
ALVEAR  AA L - V IH R
ALVEOLI  AE L - V IY - AH - L AY
ALVEREZ  AA L - V EH - R EH Z
ALVERO  AE L - V EH - R OW
ALVERSON  AA L - V EH R - S AH N
ALVES  AA L - V EH S
ALVEY  AE L - V IY
ALVIDREZ  AA L - V IY - D R EH Z
ALVIN  AE L - V IH N
ALVINA  AE L - V AY - N AH
ALVINO  AA L - V IY - N OW
ALVIS  AA L - V IH S
ALVITA  AA L - V IY - T AH
ALVORD  AE L - V AO R D
ALWALEED  AE - L W AH - L IY D
ALWALEED()  AA L - W AA - L IY D
ALWAYS()  AO L - W IY Z
ALWIN  AE L - W IH N
ALWINE  AE L - W AY N
ALWOOD  AE L - W UH D
ALWYN  AE L - W IH N
ALY  EY - L IY
ALYEA  AE - L IY - AH
ALYS  AE - L IY Z
ALYSHEBA  AE - L IH - SH IY - B AH
ALYSIA  AH - L IH - S IY - AH
ALYSSA  AH - L IH - S AH
ALZA  AE L - Z AH
ALZADO  AA L - Z AE - D OW
ALZADO()  AA L - Z AA - D OW
ALZENA  AA L - Z EH - N AH
ALZHEIMER'S()  AA T S Z - HH AY - M ER Z
ALZHEIMER()  AA L T S - HH AY - M ER
ALZONA  AE L - Z OW - N AH
AM  AE M
AM'S  AE M Z
AM()  EY - EH M
AMABILE  AA - M AA - B AH L
AMACHER  AE - M AH - K ER
AMACKER  AE - M AH - K ER
AMADEA  AA - M AA - D IY - AH
AMADEO  AA - M AA - D IY - OW
AMADEUS  AE - M AH - D EY - AH S
AMADO  AA - M AA - D OW
AMADOR  AE - M AH - D AO R
AMADOU  AE - M AH - D UW
AMAKER  AE - M EY - K ER
AMALEA  AE - M AH - L IY - AH
AMALGAM  AH - M AE L - G AH M
AMALGAMATE  AH - M AE L - G AH - M EY T
AMALGAMATED  AH - M AE L - G AH - M EY - T IH D
AMALGAMATED'S  AH - M AE L - G AH - M EY - T IH D Z
AMALGAMATION  AH - M AE L - G AH - M EY - SH AH N
AMALIA  AH - M AA - L Y AH
AMALIE  AE - M AH - L IY
AMANDA'S  AH - M AE N - D AH Z
AMANDIME  AE - M AH N - D AY M
AMANN  AE - M AH N
AMANO  AH - M AA - N OW
AMANPOUR  AA - M AA N - P UH R
AMANPOUR'S  AA - M AA N - P UH R Z
AMANTE  AA - M AA N - T IY
AMAR  AH - M AA R
AMARA  AA - M AA - R AH
AMARAL  AA - M AA - R AE L
AMARANTE  AA - M AA - R AA N - T IY
AMARANTH  AE - M ER - AE N TH
AMARI  AA - M AA - R IY
AMARILLO  AE - M ER - IH - L OW
AMARIN  AE - M ER - IH N
AMARO  AA - M AA - R OW
AMARYLLIS  AE - M ER - IH - L AH S
AMARYLLIS()  AE - M ER - IH - L IH S
AMARYLLISES  AE - M ER - IH - L AH - S AH Z
AMASA  AE - M AH - S AH
AMASON  AE - M AH - S AH N
AMASS  AH - M AE S
AMASSED  AH - M AE S T
AMATEUR  AE - M AH - T ER
AMATEURISH  AE - M AH - CH ER - IH SH
AMATEURISM  AE - M AH - CH ER - IH - Z AH M
AMATEURS  AE - M AH - T ER Z
AMATEURS()  AE - M AH - CH ER Z
AMATIL  AE - M AH - T IH L
AMAULIGAK  AH - M AW - L IH - G AE K
AMAYA  AA - M AA - Y AH
AMAZE  AH - M EY Z
AMAZED  AH - M EY Z D
AMAZEMENT  AH - M EY Z - M AH N T
AMAZES  AH - M EY - Z IH Z
AMAZING  AH - M EY - Z IH NG
AMAZINGLY  AH - M EY - Z IH NG - L IY
AMAZON  AE - M AH - Z AA N
AMAZON'S  AE - M AH - Z AA N Z
AMAZONIA  AE - M AH - Z OW - N IY - AH
AMAZONIAN  AE - M AH - Z OW - N IY - AH N
AMAZONIANS  AE - M AH - Z OW - N IY - AH N Z
AMAZONS  AE - M AH - Z AA N Z
AMBAC  AE M - B AE K
AMBASE  AE M - B EY S
AMBASSADOR  AE M - B AE - S AH - D ER
AMBASSADOR'S  AE M - B AE - S AH - D ER Z
AMBASSADORIAL  AE M - B AE - S AH - D AO - R IY - AH L
AMBASSADORSHIP  AE M - B AE - S AH - D ER - SH IH P
AMBASSADORSHIPS  AE M - B AE - S AH - D ER - SH IH P S
AMBASSADRESS  AE M - B AE - S AH - D R AH S
AMBER  AE M - B ER
AMBER'S  AE M - B ER
AMBERG  AE M - B ER G
AMBERGER  AE M - B ER - G ER
AMBERGRIS  AE M - B ER - G R IH S
AMBERS  AE M - B ER Z
AMBERSON  AE M - B ER - S AH N
AMBIANCE  AE M - B IY - AH N S
AMBIDEXTROUS  AE M - B AH - D EH K S - T R AH S
AMBIENCE  AE M - B IY - AH N S
AMBIENT  AE M - B IY - AH N T
AMBIGUITIES  AE M - B AH - G Y UW - AH - T IY Z
AMBIGUITY  AE M - B IH - G Y UW - AH - T IY
AMBIGUOUS  AE M - B IH - G Y UW - AH S
AMBITION  AE M - B IH - SH AH N
AMBITIONS  AE M - B IH - SH AH N Z
AMBITIOUSLY  AE M - B IH - SH AH S - L IY
AMBIVALENCE  AE M - B IH - V AH - L AH N S
AMBIVALENT  AE M - B IH - V AH - L AH N T
AMBLE  AE M - B AH L
AMBLED  AE M - B AH L D
AMBLES  AE M - B AH L Z
AMBLIN  AE M - B L IH N
AMBLING()  AE M - B L IH NG
AMBRA  AE M - B R AH
AMBRIANO  AE M - B R IY - AA - N OW
AMBRIT  AE M - B R IH T
AMBRIZ  AE M - B R IH Z
AMBROSE  AE M - B R OW Z
AMBROSIA  AE M - B R OW - ZH AH
AMBROSIAL  AE M - B R OW - ZH AH L
AMBROSINE  AA M - B R OW - S IY - N IY
AMBROSIO  AE M - B R OW - S IY - OW
AMBROSIUS  AE M - B R AH - S IY - IH S
AMBS  AE M Z
AMBUEHL  AE M - B UH L
AMBULANCE  AE M - B Y AH - L AH N S
AMBULANCES  AE M - B Y AH - L AH N - S AH Z
AMBULANCES()  AE M - B Y AH - L AH N - S IH Z
AMBULATORY  AE M - B Y AH - L AH - T AO - R IY
AMBURGEY  AE M - B ER - G IY
AMBURN  AH M - B ER N
AMBUSH  AE M - B UH SH
AMBUSHED  AE M - B UH SH T
AMBUSHES  AE M - B UH - SH IH Z
AMC  AE M K
AMC()  EY - EH M - S IY
AMCA  AE M - K AH
AMCORE  AE M - K AO R
AMDAHL  AE M - D AA L
AMDEK  AE M - D EH K
AMDUR  AE M - D ER
AMDURA  AE M - D UH - R AH
AMECHE  AH - M IY - CH IY
AMEDCO  AH - M EH D - K OW
AMEDEE  AE - M IH - D IY
AMEEN  AH - M IY N
AMELIA  AH - M IY - L Y AH
AMELINDA  AA - M EH - L IY N - D AH
AMELINE  AA - M EH - L IY - N IY
AMELIO  AH - M IY - L IY - OW
AMELIORATE  AH - M IY - L Y ER - EY T
AMELIORATED  AH - M IY - L IY - ER - EY - T IH D
AMELIORATED()  AH - M IY - L Y ER - EY - T IH D
AMELIORATION  AH - M IY - L Y ER - EY - SH AH N
AMELITA  AA - M EH - L IY - T AH
AMELL  AA - M EY L
AMEN  EY - M EH N
AMEN()  AA - M EH N
AMENABLE  AH - M EH - N AH - B AH L
AMENABLE()  AH - M IY - N AH - B AH L
AMEND  AH - M EH N D
AMENDED  AH - M EH N - D AH D
AMENDED()  AH - M EH N - D IH D
AMENDING  AH - M EH N - D IH NG
AMENDMENT  AH - M EH N D - M AH N T
AMENDMENT'S  AH - M EH N D - M AH N T S
AMENDMENTS  AH - M EH N D - M AH N T S
AMENDOLA  AA - M EH N - D OW - L AH
AMENDS  AH - M EH N D Z
AMENITIES  AH - M EH - N AH - T IY Z
AMENITIES()  AH - M EH - N IH - T IY Z
AMENITY  AH - M EH - N AH - T IY
AMENT  AE - M IH N T
AMENTA  AH - M EH N - T AH
AMER  EY - M ER
AMERADA  AE - M EH - R AA - D AH
AMERADA()  AE - M ER - AA - D AH
AMERCO  AH - M EH R - K OW
AMERFORD  EY - M ER - F ER D
AMERI  AH - M EH - R IY
AMERIBANC  AH - M EH - R IH - B AE NG K
AMERICA  AH - M EH - R AH - K AH
AMERICA()  AH - M EH - R IH - K AH
AMERICAN  AH - M EH - R AH - K AH N
AMERICAN'S  AH - M EH - R IH - K AH N Z
AMERICAN()  AH - M EH - R IH - K AH N
AMERICANA  AH - M EH - R AH - K AE - N AH
AMERICANISM  AH - M EH - R IH - K AH - N IH - Z AH M
AMERICANIZATION  AH - M EH - R AH - K AH - N AH - Z EY - SH AH N
AMERICANO  AH - M EH - R IH - K AA - N OW
AMERICANS  AH - M EH - R AH - K AH N Z
AMERICANS'  AH - M EH - R IH - K AH N Z
AMERICANS()  AH - M EH - R IH - K AH N Z
AMERICAR  AH - M EH - R IH - K AA R
AMERICARE  AH - M EH - R IH - K EH R
AMERICARES  AH - M EH - R IH - K EH R Z
AMERICAS'  AH - M EH - R IH - K AH Z
AMERICAS()  AH - M EH - R IH - K AH Z
AMERICO  AH - M ER - AH - K OW
AMERICOLD  AH - M EH - R IH - K OW L D
AMERICORP  AH - M EH - R IH - K AO R
AMERICORP()  AH - M EH - R IH - K AO R P
AMERICORPS  AH - M EH - R IH - K AO R
AMERICUS  AH - M EH - R IH - K AH S
AMERIGAS  AH - M EH - R IH - G AE S
AMERIGO  AA - M ER - IY - G OW
AMERIKA  AH - M EH - R IH - K AH
AMERINDIAN  AE - M ER - IH N - D IY - AH N
AMERINE  AA - M ER - IY - N IY
AMERITECH'S  AH - M EH - R IH - T EH K S
AMERMAN  AE - M ER - M AH N
AMERO  AA - M EH - R OW
AMERON  AE - M ER - AA N
AMERONGEN  AE - M ER - AO N - JH AH N
AMERSHAM  AE - M ER - SH AE M
AMERY  AE - M ER - IY
AMES  EY M Z
AMES'  EY M Z
AMES'S  EY M - Z IH Z
AMETEK  AE - M AH - T EH K
AMETEK'S  AE - M AH - T EH K S
AMEV  AE - M EH V
AMEX  AE - M EH K S
AMEX'S  AE - M EH K - S IH Z
AMEXCO  AH - M EH K - S K OW
AMEXCO'S  AH - M EH K - S K OW Z
AMEZQUITA  AA - M EH Z - K W IY - T AH
AMFAC  AE M - F AE K
AMFESCO  AE M - F EH - S K OW
AMGEN  AE M - JH EH N
AMGEN'S  AE M - JH EH N Z
AMIABILITY  EY - M IY - AH - B IH - L AH - T IY
AMIABLE  EY - M IY - AH - B AH L
AMIABLY  EY - M IY - AH - B L IY
AMICABLE  AE - M IH - K AH - B AH L
AMICABLY  AE - M IH - K AH - B L IY
AMICK  AE - M IH K
AMICO  AA - M IY - K OW
AMICONE  AE - M IH - K OW N
AMICUS  AH - M IY - K AH S
AMIDI  AA - M IY - D IY
AMIDON  AE - M IH - D AA N
AMIDSHIPS  AH - M IH D - SH IH P S
AMIDST  AH - M IH D S T
AMIE  AE - M IY
AMIGA  AH - M IY - G AH
AMIGO  AH - M IY - G OW
AMIGOS  AH - M IY - G OW Z
AMILIA  AA - M IY - L IY - AH
AMIN  AA - M IY N
AMINO  AH - M IY - N OW
AMINTA  AH - M IH N - T AH
AMIOT  EY - M IY - AH T
AMIPRILOSE  AH - M IH - P R AH - L OW S
AMIR  AH - M IH R
AMIR'S  AH - M IH R Z
AMIR'S()  AA - M IH R Z
AMIR()  AA - M IH R
AMIRAN  AE - M IH - R AH N
AMIRAULT  AE - M AY - R AW L T
AMIRAV  AE - M IH - R AE V
AMIRI  AA - M IH - R IY
AMIS  AE - M IH S
AMISH  AA - M IH SH
AMISH()  EY - M IH SH
AMISON  AE - M IH - S AH N
AMIT  AA - M IY T
AMITAI  AE - M IH - T AY
AMITY  AE - M IH - T IY
AMITYVILLE  AE - M IH - T IY - V IH L
AMMAN  AE - M AH N
AMMAN()  AH - M AA N
AMMANN  AE - M AH N
AMMEEN  AH - M IY N
AMMETER  AE - M IY - T ER
AMMETERS  AE - M IY - T ER Z
AMMIRATI  AA - M IH - R AA - T IY
AMMO  AE - M OW
AMMON  AE - M AH N
AMMONIA  AH - M OW - N Y AH
AMMONITE  AE - M AH - N AY T
AMMONITES  AE - M AH - N AY T S
AMMONIUM  AH - M OW - N IY - AH M
AMMONS  AE - M AH N Z
AMMUNITION  AE - M Y AH - N IH - SH AH N
AMMUNITIONS  AE - M Y AH - N IH - SH AH N Z
AMNESIA  AE M - N IY - ZH AH
AMNESTY  AE M - N AH - S T IY
AMNIO  AE M - N IY - OW
AMNIOCENTESIS  AE M - N IY - OW - S EH N - T IY - S IH S
AMNIOTIC  AE M - N IY - AO - T IH K
AMO  AA - M OW
AMOCO  AE - M AH - K OW
AMOCO'S  AE - M AH - K OW Z
AMOEBA  AH - M IY - B AH
AMOEBAS  AH - M IY - B AH Z
AMOEBIC  AH - M IY - B IH K
AMOK  AH - M AH K
AMONGST  AH - M AH NG S T
AMOR  AE - M ER
AMORE  AA - M AO R
AMORETTE  AE - M ER - EH T
AMORIST  AE - M ER - AH S T
AMORITA  AA - M AO - R IY - T AH
AMOROSO  AA - M AO - R OW - S OW
AMOROUS  AE - M ER - AH S
AMORPHOUS  AH - M AO R - F AH S
AMORTIZATION  AE - M ER - T IH - Z EY - SH AH N
AMORTIZED  AE - M ER - T AY Z D
AMORTIZING  AE - M ER - T AY - Z IH NG
AMORY  EY - M ER - IY
AMOS'S  EY - M AH - S IH Z
AMOSKEAG'S  AE - M AH - S K EY G Z
AMOUNTED  AH - M AW N - T IH D
AMOUNTED()  AH - M AW - N IH D
AMOUNTING()  AH - M AW - N IH NG
AMP  AE M P
AMPAD  AE M - P AE D
AMPARAN  AE M - P ER - AH N
AMPATO  AA M - P AA - T OW
AMPCO  AE M - P K OW
AMPERAGE  AE M - P ER - IH JH
AMPERSAND  AE M - P ER - S AE N D
AMPHENOL  AE M - F AH - N AO L
AMPHETAMINE  AE M - F EH - T AH - M IY N
AMPHETAMINES  AE M - F EH - T AH - M IY N Z
AMPHIBIAN  AE M - F IH - B IY - AH N
AMPHIBIANS  AE M - F IH - B IY - AH N Z
AMPHIBOLE  AE M - F AH - B OW L
AMPHIBOLE()  AE M - F IH - B OW L
AMPHITHEATER  AE M - F AH - TH IY - AH - T ER
AMPHITHEATERS  AE M - F AH - TH IY - AH - T ER Z
AMPHITHEATRE  AE M - P AH - TH IY - AH - T ER
AMPHORAE  AE M - F ER - IY
AMPLE  AE M - P AH L
AMPLICONS  AE M - P L IH - K AO N Z
AMPLIFICATION  AE M - P L AH - F AH - K EY - SH AH N
AMPLIFIED  AE M - P L AH - F AY D
